9.7202 	EXP 	New trial (rep=0, index=1): OrderedDict([('words', 'bunny'), ('images', None)])
9.7443 	EXP 	text_5: autoDraw = False
9.7443 	EXP 	image_2: autoDraw = False
9.7443 	EXP 	Arousalimage: autoDraw = False
9.7443 	EXP 	slider_arousal: autoDraw = False
9.7443 	EXP 	text_2: autoDraw = False
9.7443 	EXP 	text_4: autoDraw = False
9.7443 	EXP 	text_6: text = 'bunny'
9.7443 	EXP 	image_1: image = None
9.7443 	EXP 	slider_valence: markerPos = None
9.7443 	EXP 	slider_valence: markerPos = None
9.7443 	EXP 	slider_valence: rating = None
9.7443 	EXP 	text_6: autoDraw = True
9.7443 	EXP 	image_1: autoDraw = True
9.7443 	EXP 	ValenceImg: autoDraw = True
9.7443 	EXP 	slider_valence: autoDraw = True
9.7443 	EXP 	text: autoDraw = True
9.7443 	EXP 	text_3: autoDraw = True
10.1347 	DATA 	Keypress: space
10.1547 	EXP 	text_6: autoDraw = False
10.1547 	EXP 	image_1: autoDraw = False
10.1547 	EXP 	ValenceImg: autoDraw = False
10.1547 	EXP 	slider_valence: autoDraw = False
10.1547 	EXP 	text: autoDraw = False
10.1547 	EXP 	text_3: autoDraw = False
10.1547 	EXP 	text_5: text = 'bunny'
10.1547 	EXP 	image_2: image = None
10.1547 	EXP 	slider_arousal: markerPos = None
10.1547 	EXP 	slider_arousal: markerPos = None
10.1547 	EXP 	slider_arousal: rating = None
10.1547 	EXP 	text_5: autoDraw = True
10.1547 	EXP 	image_2: autoDraw = True
10.1547 	EXP 	Arousalimage: autoDraw = True
10.1547 	EXP 	slider_arousal: autoDraw = True
10.1547 	EXP 	text_2: autoDraw = True
10.1547 	EXP 	text_4: autoDraw = True
10.3552 	DATA 	Keypress: space
10.3698 	EXP 	New trial (rep=0, index=2): OrderedDict([('words', 'afraid'), ('images', None)])
10.3899 	EXP 	text_5: autoDraw = False
10.3899 	EXP 	image_2: autoDraw = False
10.3899 	EXP 	Arousalimage: autoDraw = False
10.3899 	EXP 	slider_arousal: autoDraw = False
10.3899 	EXP 	text_2: autoDraw = False
10.3899 	EXP 	text_4: autoDraw = False
10.3899 	EXP 	text_6: text = 'afraid'
10.3899 	EXP 	image_1: image = None
10.3899 	EXP 	slider_valence: markerPos = None
10.3899 	EXP 	slider_valence: markerPos = None
10.3899 	EXP 	slider_valence: rating = None
10.3899 	EXP 	text_6: autoDraw = True
10.3899 	EXP 	image_1: autoDraw = True
10.3899 	EXP 	ValenceImg: autoDraw = True
10.3899 	EXP 	slider_valence: autoDraw = True
10.3899 	EXP 	text: autoDraw = True
10.3899 	EXP 	text_3: autoDraw = True
10.5885 	DATA 	Keypress: space
10.6216 	EXP 	text_6: autoDraw = False
10.6216 	EXP 	image_1: autoDraw = False
10.6216 	EXP 	ValenceImg: autoDraw = False
10.6216 	EXP 	slider_valence: autoDraw = False
10.6216 	EXP 	text: autoDraw = False
10.6216 	EXP 	text_3: autoDraw = False
10.6216 	EXP 	text_5: text = 'afraid'
10.6216 	EXP 	image_2: image = None
10.6216 	EXP 	slider_arousal: markerPos = None
10.6216 	EXP 	slider_arousal: markerPos = None
10.6216 	EXP 	slider_arousal: rating = None
10.6216 	EXP 	text_5: autoDraw = True
10.6216 	EXP 	image_2: autoDraw = True
10.6216 	EXP 	Arousalimage: autoDraw = True
10.6216 	EXP 	slider_arousal: autoDraw = True
10.6216 	EXP 	text_2: autoDraw = True
10.6216 	EXP 	text_4: autoDraw = True
10.7869 	DATA 	Keypress: space
10.8022 	EXP 	New trial (rep=0, index=3): OrderedDict([('words', 'python'), ('images', None)])
10.8211 	EXP 	text_5: autoDraw = False
10.8211 	EXP 	image_2: autoDraw = False
10.8211 	EXP 	Arousalimage: autoDraw = False
10.8211 	EXP 	slider_arousal: autoDraw = False
10.8211 	EXP 	text_2: autoDraw = False
10.8211 	EXP 	text_4: autoDraw = False
10.8211 	EXP 	text_6: text = 'python'
10.8211 	EXP 	image_1: image = None
10.8211 	EXP 	slider_valence: markerPos = None
10.8211 	EXP 	slider_valence: markerPos = None
10.8211 	EXP 	slider_valence: rating = None
10.8211 	EXP 	text_6: autoDraw = True
10.8211 	EXP 	image_1: autoDraw = True
10.8211 	EXP 	ValenceImg: autoDraw = True
10.8211 	EXP 	slider_valence: autoDraw = True
10.8211 	EXP 	text: autoDraw = True
10.8211 	EXP 	text_3: autoDraw = True
10.9846 	DATA 	Keypress: space
11.0032 	EXP 	text_6: autoDraw = False
11.0032 	EXP 	image_1: autoDraw = False
11.0032 	EXP 	ValenceImg: autoDraw = False
11.0032 	EXP 	slider_valence: autoDraw = False
11.0032 	EXP 	text: autoDraw = False
11.0032 	EXP 	text_3: autoDraw = False
11.0032 	EXP 	text_5: text = 'python'
11.0032 	EXP 	image_2: image = None
11.0032 	EXP 	slider_arousal: markerPos = None
11.0032 	EXP 	slider_arousal: markerPos = None
11.0032 	EXP 	slider_arousal: rating = None
11.0032 	EXP 	text_5: autoDraw = True
11.0032 	EXP 	image_2: autoDraw = True
11.0032 	EXP 	Arousalimage: autoDraw = True
11.0032 	EXP 	slider_arousal: autoDraw = True
11.0032 	EXP 	text_2: autoDraw = True
11.0032 	EXP 	text_4: autoDraw = True
11.2008 	DATA 	Keypress: space
11.2018 	EXP 	New trial (rep=0, index=4): OrderedDict([('words', 'table'), ('images', None)])
11.2173 	EXP 	text_5: autoDraw = False
11.2173 	EXP 	image_2: autoDraw = False
11.2173 	EXP 	Arousalimage: autoDraw = False
11.2173 	EXP 	slider_arousal: autoDraw = False
11.2173 	EXP 	text_2: autoDraw = False
11.2173 	EXP 	text_4: autoDraw = False
11.2173 	EXP 	text_6: text = 'table'
11.2173 	EXP 	image_1: image = None
11.2173 	EXP 	slider_valence: markerPos = None
11.2173 	EXP 	slider_valence: markerPos = None
11.2173 	EXP 	slider_valence: rating = None
11.2173 	EXP 	text_6: autoDraw = True
11.2173 	EXP 	image_1: autoDraw = True
11.2173 	EXP 	ValenceImg: autoDraw = True
11.2173 	EXP 	slider_valence: autoDraw = True
11.2173 	EXP 	text: autoDraw = True
11.2173 	EXP 	text_3: autoDraw = True
11.3847 	DATA 	Keypress: space
11.4016 	EXP 	text_6: autoDraw = False
11.4016 	EXP 	image_1: autoDraw = False
11.4016 	EXP 	ValenceImg: autoDraw = False
11.4016 	EXP 	slider_valence: autoDraw = False
11.4016 	EXP 	text: autoDraw = False
11.4016 	EXP 	text_3: autoDraw = False
11.4016 	EXP 	text_5: text = 'table'
11.4016 	EXP 	image_2: image = None
11.4016 	EXP 	slider_arousal: markerPos = None
11.4016 	EXP 	slider_arousal: markerPos = None
11.4016 	EXP 	slider_arousal: rating = None
11.4016 	EXP 	text_5: autoDraw = True
11.4016 	EXP 	image_2: autoDraw = True
11.4016 	EXP 	Arousalimage: autoDraw = True
11.4016 	EXP 	slider_arousal: autoDraw = True
11.4016 	EXP 	text_2: autoDraw = True
11.4016 	EXP 	text_4: autoDraw = True
11.5714 	DATA 	Keypress: space
11.5869 	EXP 	New trial (rep=0, index=5): OrderedDict([('words', 'divorce'), ('images', None)])
11.6100 	EXP 	text_5: autoDraw = False
